source,destination,algorithm,path,cost,hops
0,1,BFS,None,inf,None
0,1,DFS,None,inf,None
0,1,Dijkstra,None,inf,None
0,1,A*,None,inf,None
0,1,Bellman-Ford,None,inf,None
0,2,BFS,"[0, 2]",1643.0,1
0,2,DFS,"[0, 2]",1643.0,1
0,2,Dijkstra,"[0, 7, 2]",1611.0,2
0,2,A*,"[0, 7, 2]",1611.0,2
0,2,Bellman-Ford,"[0, 7, 2]",1611.0,2
0,3,BFS,"[0, 4, 3]",2598.0,2
0,3,DFS,"[0, 2, 9, 6, 7, 4, 3]",6391.0,6
0,3,Dijkstra,"[0, 8, 3]",2085.0,2
0,3,A*,"[0, 8, 3]",2085.0,2
0,3,Bellman-Ford,"[0, 8, 3]",2085.0,2
0,4,BFS,"[0, 4]",1269.0,1
0,4,DFS,"[0, 2, 9, 6, 7, 4]",5062.0,5
0,4,Dijkstra,"[0, 7, 4]",1055.0,2
0,4,A*,"[0, 7, 4]",1055.0,2
0,4,Bellman-Ford,"[0, 7, 4]",1055.0,2
0,5,BFS,"[0, 7, 5]",1636.0,2
0,5,DFS,"[0, 2, 9, 6, 7, 5]",5643.0,5
0,5,Dijkstra,"[0, 7, 5]",1636.0,2
0,5,A*,"[0, 7, 5]",1636.0,2
0,5,Bellman-Ford,"[0, 7, 5]",1636.0,2
0,6,BFS,"[0, 8, 6]",1682.0,2
0,6,DFS,"[0, 2, 9, 6]",3437.0,3
0,6,Dijkstra,"[0, 8, 6]",1682.0,2
0,6,A*,"[0, 8, 6]",1682.0,2
0,6,Bellman-Ford,"[0, 8, 6]",1682.0,2
0,7,BFS,"[0, 7]",428.0,1
0,7,DFS,"[0, 2, 9, 6, 7]",4435.0,4
0,7,Dijkstra,"[0, 7]",428.0,1
0,7,A*,"[0, 7]",428.0,1
0,7,Bellman-Ford,"[0, 7]",428.0,1
0,8,BFS,"[0, 8]",558.0,1
0,8,DFS,"[0, 2, 9, 6, 7, 8]",4727.0,5
0,8,Dijkstra,"[0, 8]",558.0,1
0,8,A*,"[0, 8]",558.0,1
0,8,Bellman-Ford,"[0, 8]",558.0,1
0,9,BFS,"[0, 2, 9]",2565.0,2
0,9,DFS,"[0, 2, 9]",2565.0,2
0,9,Dijkstra,"[0, 7, 2, 9]",2533.0,3
0,9,A*,"[0, 7, 2, 9]",2533.0,3
0,9,Bellman-Ford,"[0, 7, 2, 9]",2533.0,3
1,2,BFS,"[1, 0, 2]",2511.0,2
1,2,DFS,"[1, 0, 2]",2511.0,2
1,2,Dijkstra,"[1, 9, 2]",1663.0,2
1,2,A*,"[1, 9, 2]",1663.0,2
1,2,Bellman-Ford,"[1, 9, 2]",1663.0,2
1,3,BFS,"[1, 0, 4, 3]",3466.0,3
1,3,DFS,"[1, 0, 2, 9, 6, 7, 4, 3]",7259.0,7
1,3,Dijkstra,"[1, 5, 4, 3]",2601.0,3
1,3,A*,"[1, 5, 4, 3]",2601.0,3
1,3,Bellman-Ford,"[1, 5, 4, 3]",2601.0,3
1,4,BFS,"[1, 0, 4]",2137.0,2
1,4,DFS,"[1, 0, 2, 9, 6, 7, 4]",5930.0,6
1,4,Dijkstra,"[1, 5, 4]",1272.0,2
1,4,A*,"[1, 5, 4]",1272.0,2
1,4,Bellman-Ford,"[1, 5, 4]",1272.0,2
1,5,BFS,"[1, 5]",691.0,1
1,5,DFS,"[1, 0, 2, 9, 6, 7, 5]",6511.0,6
1,5,Dijkstra,"[1, 5]",691.0,1
1,5,A*,"[1, 5]",691.0,1
1,5,Bellman-Ford,"[1, 5]",691.0,1
1,6,BFS,"[1, 9, 6]",1480.0,2
1,6,DFS,"[1, 0, 2, 9, 6]",4305.0,4
1,6,Dijkstra,"[1, 9, 6]",1480.0,2
1,6,A*,"[1, 9, 6]",1480.0,2
1,6,Bellman-Ford,"[1, 9, 6]",1480.0,2
1,7,BFS,"[1, 0, 7]",1296.0,2
1,7,DFS,"[1, 0, 2, 9, 6, 7]",5303.0,5
1,7,Dijkstra,"[1, 0, 7]",1296.0,2
1,7,A*,"[1, 0, 7]",1296.0,2
1,7,Bellman-Ford,"[1, 0, 7]",1296.0,2
1,8,BFS,"[1, 0, 8]",1426.0,2
1,8,DFS,"[1, 0, 2, 9, 6, 7, 8]",5595.0,6
1,8,Dijkstra,"[1, 0, 8]",1426.0,2
1,8,A*,"[1, 0, 8]",1426.0,2
1,8,Bellman-Ford,"[1, 0, 8]",1426.0,2
1,9,BFS,"[1, 9]",608.0,1
1,9,DFS,"[1, 0, 2, 9]",3433.0,3
1,9,Dijkstra,"[1, 9]",608.0,1
1,9,A*,"[1, 9]",608.0,1
1,9,Bellman-Ford,"[1, 9]",608.0,1
2,3,BFS,"[2, 9, 7, 4, 3]",4011.0,4
2,3,DFS,"[2, 9, 6, 7, 4, 0, 8, 3]",6685.0,7
2,3,Dijkstra,"[2, 9, 7, 8, 3]",3874.0,4
2,3,A*,"[2, 9, 7, 8, 3]",3874.0,4
2,3,Bellman-Ford,"[2, 9, 7, 8, 3]",3874.0,4
2,4,BFS,"[2, 9, 7, 4]",2682.0,3
2,4,DFS,"[2, 9, 6, 7, 4]",3419.0,4
2,4,Dijkstra,"[2, 9, 7, 4]",2682.0,3
2,4,A*,"[2, 9, 7, 4]",2682.0,3
2,4,Bellman-Ford,"[2, 9, 7, 4]",2682.0,3
2,5,BFS,"[2, 9, 7, 5]",3263.0,3
2,5,DFS,"[2, 9, 6, 7, 5]",4000.0,4
2,5,Dijkstra,"[2, 9, 7, 5]",3263.0,3
2,5,A*,"[2, 9, 7, 5]",3263.0,3
2,5,Bellman-Ford,"[2, 9, 7, 5]",3263.0,3
2,6,BFS,"[2, 9, 6]",1794.0,2
2,6,DFS,"[2, 9, 6]",1794.0,2
2,6,Dijkstra,"[2, 9, 6]",1794.0,2
2,6,A*,"[2, 9, 6]",1794.0,2
2,6,Bellman-Ford,"[2, 9, 6]",1794.0,2
2,7,BFS,"[2, 9, 7]",2055.0,2
2,7,DFS,"[2, 9, 6, 7]",2792.0,3
2,7,Dijkstra,"[2, 9, 7]",2055.0,2
2,7,A*,"[2, 9, 7]",2055.0,2
2,7,Bellman-Ford,"[2, 9, 7]",2055.0,2
2,8,BFS,"[2, 9, 7, 8]",2347.0,3
