source,destination,algorithm,path,cost,hops
0,1,BFS,"[0, 1]",605.0,1
0,1,DFS,"[0, 1]",605.0,1
0,1,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5, 14, 18, 16, 1]",-1014.0,13
0,1,A*,"[0, 9, 6, 3, 1]",-379.0,4
0,1,Bellman-Ford,None,-inf,None
0,2,BFS,"[0, 2]",1066.0,1
0,2,DFS,"[0, 1, 2]",1484.0,2
0,2,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5, 14, 18, 16, 2]",-994.0,13
0,2,A*,"[0, 19, 2]",47.0,2
0,2,Bellman-Ford,None,-inf,None
0,3,BFS,"[0, 3]",160.0,1
0,3,DFS,"[0, 1, 2, 3]",1844.0,3
0,3,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3]",-1056.0,7
0,3,A*,"[0, 9, 6, 3]",-710.0,3
0,3,Bellman-Ford,None,-inf,None
0,4,BFS,"[0, 4]",978.0,1
0,4,DFS,"[0, 1, 2, 3, 4]",2839.0,4
0,4,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5, 14, 18, 16, 2, 4]",-945.0,14
0,4,A*,"[0, 18, 14, 16, 4]",346.0,4
0,4,Bellman-Ford,None,-inf,None
0,5,BFS,"[0, 5]",938.0,1
0,5,DFS,"[0, 1, 2, 3, 4, 5]",3368.0,5
0,5,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5]",-852.0,9
0,5,A*,"[0, 9, 6, 5]",-207.0,3
0,5,Bellman-Ford,None,-inf,None
0,6,BFS,"[0, 6]",293.0,1
0,6,DFS,"[0, 1, 2, 3, 4, 5, 6]",3492.0,6
0,6,Dijkstra,"[0, 10, 17, 8, 12, 9, 6]",-716.0,6
0,6,A*,"[0, 9, 6]",-370.0,2
0,6,Bellman-Ford,None,-inf,None
0,7,BFS,"[0, 7]",181.0,1
0,7,DFS,"[0, 1, 2, 3, 4, 5, 6, 7]",4429.0,7
0,7,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5, 14, 18, 16, 2, 4, 7]",-914.0,15
0,7,A*,"[0, 10, 17, 8, 12, 7]",-337.0,5
0,7,Bellman-Ford,None,-inf,None
0,8,BFS,"[0, 8]",617.0,1
0,8,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8]",4873.0,8
0,8,Dijkstra,"[0, 10, 17, 8]",-506.0,3
0,8,A*,"[0, 10, 17, 8]",-506.0,3
0,8,Bellman-Ford,None,-inf,None
0,9,BFS,"[0, 9]",-160.0,1
0,9,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",5509.0,9
0,9,Dijkstra,"[0, 10, 17, 8, 12, 9]",-506.0,5
0,9,A*,"[0, 9]",-160.0,1
0,9,Bellman-Ford,None,-inf,None
0,10,BFS,"[0, 10]",-214.0,1
0,10,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",5435.0,10
0,10,Dijkstra,"[0, 10]",-214.0,1
0,10,A*,"[0, 10]",-214.0,1
0,10,Bellman-Ford,None,-inf,None
0,11,BFS,"[0, 11]",2.0,1
0,11,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",6382.0,11
0,11,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11]",-1118.0,8
0,11,A*,"[0, 11]",2.0,1
0,11,Bellman-Ford,None,-inf,None
0,12,BFS,"[0, 12]",531.0,1
0,12,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6660.0,12
0,12,Dijkstra,"[0, 10, 17, 8, 12]",-547.0,4
0,12,A*,"[0, 10, 12]",-99.0,2
0,12,Bellman-Ford,None,-inf,None
0,13,BFS,"[0, 13]",665.0,1
0,13,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",6605.0,13
0,13,Dijkstra,"[0, 10, 17, 8, 12, 13]",-602.0,5
0,13,A*,"[0, 10, 17, 8, 12, 13]",-602.0,5
0,13,Bellman-Ford,None,-inf,None
0,14,BFS,"[0, 14]",871.0,1
0,14,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",7183.0,14
0,14,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5, 14]",-917.0,10
0,14,A*,"[0, 19, 14]",-178.0,2
0,14,Bellman-Ford,None,-inf,None
0,15,BFS,"[0, 15]",810.0,1
0,15,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",7953.0,15
0,15,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 15]",-995.0,7
0,15,A*,"[0, 9, 6, 15]",-649.0,3
0,15,Bellman-Ford,None,-inf,None
0,16,BFS,"[0, 16]",412.0,1
0,16,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",8946.0,16
0,16,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5, 14, 18, 16]",-1259.0,12
0,16,A*,"[0, 10, 17, 8, 16]",-492.0,4
0,16,Bellman-Ford,None,-inf,None
0,17,BFS,"[0, 17]",462.0,1
0,17,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",9115.0,17
0,17,Dijkstra,"[0, 10, 17]",-276.0,2
0,17,A*,"[0, 10, 17]",-276.0,2
0,17,Bellman-Ford,None,-inf,None
0,18,BFS,"[0, 18]",285.0,1
0,18,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",9518.0,18
0,18,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5, 14, 18]",-1124.0,11
0,18,A*,"[0, 18]",285.0,1
0,18,Bellman-Ford,None,-inf,None
0,19,BFS,"[0, 19]",208.0,1
0,19,DFS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",10146.0,19
0,19,Dijkstra,"[0, 10, 17, 8, 12, 9, 6, 3, 11, 5, 14, 18, 16, 2, 4, 19]",-1122.0,15
0,19,A*,"[0, 19]",208.0,1
0,19,Bellman-Ford,None,-inf,None
1,2,BFS,"[1, 2]",879.0,1
1,2,DFS,"[1, 0, 2]",1506.0,2
1,2,Dijkstra,"[1, 9, 6, 3, 11, 10, 17, 8, 12, 0, 19, 14, 18, 16, 2]",-1269.0,14
1,2,A*,"[1, 14, 2]",390.0,2
1,2,Bellman-Ford,None,-inf,None
1,3,BFS,"[1, 3]",397.0,1
1,3,DFS,"[1, 0, 2, 3]",1866.0,3
1,3,Dijkstra,"[1, 9, 6, 3]",-541.0,3
1,3,A*,"[1, 9, 6, 3]",-541.0,3
1,3,Bellman-Ford,None,-inf,None
1,4,BFS,"[1, 4]",906.0,1
1,4,DFS,"[1, 0, 2, 3, 4]",2861.0,4
1,4,Dijkstra,"[1, 9, 6, 3, 11, 10, 17, 8, 12, 0, 19, 14, 18, 16, 2, 4]",-1220.0,15
1,4,A*,"[1, 14, 18, 16, 4]",292.0,4
1,4,Bellman-Ford,None,-inf,None
1,5,BFS,"[1, 5]",593.0,1
1,5,DFS,"[1, 0, 2, 3, 4, 5]",3390.0,5
1,5,Dijkstra,"[1, 9, 6, 3, 11, 10, 17, 8, 12, 0, 19, 14, 18, 16, 2, 5]",-1398.0,15
1,5,A*,"[1, 9, 6, 5]",-38.0,3
1,5,Bellman-Ford,None,-inf,None
1,6,BFS,"[1, 6]",308.0,1
1,6,DFS,"[1, 0, 2, 3, 4, 5, 6]",3514.0,6
1,6,Dijkstra,"[1, 9, 6]",-201.0,2
1,6,A*,"[1, 9, 6]",-201.0,2
1,6,Bellman-Ford,None,-inf,None
1,7,BFS,"[1, 7]",431.0,1
1,7,DFS,"[1, 0, 2, 3, 4, 5, 6, 7]",4451.0,7
1,7,Dijkstra,"[1, 9, 6, 3, 11, 10, 17, 8, 12, 0, 7]",-833.0,10
1,7,A*,"[1, 10, 17, 8, 12, 0, 7]",-292.0,6
1,7,Bellman-Ford,None,-inf,None
1,8,BFS,"[1, 8]",234.0,1
1,8,DFS,"[1, 0, 2, 3, 4, 5, 6, 7, 8]",4895.0,8
1,8,Dijkstra,"[1, 9, 6, 3, 11, 10, 17, 8]",-761.0,7
1,8,A*,"[1, 8]",234.0,1
1,8,Bellman-Ford,None,-inf,None
1,9,BFS,"[1, 9]",9.0,1
1,9,DFS,"[1, 0, 2, 3, 4, 5, 6, 7, 8, 9]",5531.0,9
1,9,Dijkstra,"[1, 9]",9.0,1
1,9,A*,"[1, 9]",9.0,1
1,9,Bellman-Ford,None,-inf,None
1,10,BFS,"[1, 10]",72.0,1
